source,title,doi,license,description,publish_time,authors,journal,keywords,url,type
CSVimport,AGFI CSV - 110520201445 - 23,10.1000/csv.test.110520201445.23,NoDerivatives (nd),Description - 23,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 23,AGFI CSV - 23,https://www.11052020144523.com/,Presentation
CSVimport,AGFI CSV - 110520201445 - 24,10.1000/csv.test.110520201445.24,No Copyright,Description - 24,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 24,AGFI CSV - 24,https://www.11052020144524.com/,Data Set
CSVimport,AGFI CSV - 110520201445 - 25,10.1000/csv.test.110520201445.25,NoDerivatives (nd),Description - 25,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 25,AGFI CSV - 25,https://www.11052020144525.com/,Dissertation
CSVimport,AGFI CSV - 110520201445 - 26,10.1000/csv.test.110520201445.26,Attribution (by),Description - 26,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 26,AGFI CSV - 26,https://www.11052020144526.com/,Not Categorize
CSVimport,AGFI CSV - 110520201445 - 27,10.1000/csv.test.110520201445.27,No Copyright,Description - 27,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 27,AGFI CSV - 27,https://www.11052020144527.com/,Other
CSVimport,AGFI CSV - 110520201445 - 28,10.1000/csv.test.110520201445.28,ShareAlike (sa),Description - 28,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 28,AGFI CSV - 28,https://www.11052020144528.com/,Not valid
CSVimport,AGFI CSV - 110520201445 - 29,10.1000/csv.test.110520201445.29,Attribution (by),Description - 29,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 29,AGFI CSV - 29,https://www.11052020144529.com/,Patent
CSVimport,AGFI CSV - 110520201445 - 30,10.1000/csv.test.110520201445.30,ShareAlike (sa),Description - 30,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 30,AGFI CSV - 30,https://www.11052020144530.com/,Not Categorize
CSVimport,AGFI CSV - 110520201445 - 31,10.1000/csv.test.110520201445.31,No Copyright,Description - 31,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 31,AGFI CSV - 31,https://www.11052020144531.com/,Not Categorize
CSVimport,AGFI CSV - 110520201445 - 32,10.1000/csv.test.110520201445.32,NonCommercial (nc),Description - 32,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 32,AGFI CSV - 32,https://www.11052020144532.com/,"Grant (Applications, Awards...)"
CSVimport,AGFI CSV - 110520201445 - 33,10.1000/csv.test.110520201445.33,Attribution (by),Description - 33,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 33,AGFI CSV - 33,https://www.11052020144533.com/,"Grant (Applications, Awards...)"
CSVimport,AGFI CSV - 110520201445 - 34,10.1000/csv.test.110520201445.34,Not valid,Description - 34,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 34,AGFI CSV - 34,https://www.11052020144534.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 35,10.1000/csv.test.110520201445.35,No Copyright,Description - 35,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 35,AGFI CSV - 35,https://www.11052020144535.com/,"Grant (Applications, Awards...)"
CSVimport,AGFI CSV - 110520201445 - 36,10.1000/csv.test.110520201445.36,No Copyright,Description - 36,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 36,AGFI CSV - 36,https://www.11052020144536.com/,Article/Manuscript
CSVimport,AGFI CSV - 110520201445 - 37,10.1000/csv.test.110520201445.37,NonCommercial (nc),Description - 37,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 37,AGFI CSV - 37,https://www.11052020144537.com/,Video
CSVimport,AGFI CSV - 110520201445 - 38,10.1000/csv.test.110520201445.38,Not valid,Description - 38,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 38,AGFI CSV - 38,https://www.11052020144538.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 39,10.1000/csv.test.110520201445.39,No Copyright,Description - 39,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 39,AGFI CSV - 39,https://www.11052020144539.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 40,10.1000/csv.test.110520201445.40,Not valid,Description - 40,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 40,AGFI CSV - 40,https://www.11052020144540.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 41,10.1000/csv.test.110520201445.41,NoDerivatives (nd),Description - 41,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 41,AGFI CSV - 41,https://www.11052020144541.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 42,10.1000/csv.test.110520201445.42,No Copyright,Description - 42,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 42,AGFI CSV - 42,https://www.11052020144542.com/,Presentation
CSVimport,AGFI CSV - 110520201445 - 43,10.1000/csv.test.110520201445.43,NoDerivatives (nd),Description - 43,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 43,AGFI CSV - 43,https://www.11052020144543.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 44,10.1000/csv.test.110520201445.44,Attribution (by),Description - 44,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 44,AGFI CSV - 44,https://www.11052020144544.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 45,10.1000/csv.test.110520201445.45,No Copyright,Description - 45,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 45,AGFI CSV - 45,https://www.11052020144545.com/,Other
CSVimport,AGFI CSV - 110520201445 - 46,10.1000/csv.test.110520201445.46,Attribution (by),Description - 46,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 46,AGFI CSV - 46,https://www.11052020144546.com/,Conference Paper
CSVimport,AGFI CSV - 110520201445 - 47,10.1000/csv.test.110520201445.47,NonCommercial (nc),Description - 47,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 47,AGFI CSV - 47,https://www.11052020144547.com/,Retraction
CSVimport,AGFI CSV - 110520201445 - 48,10.1000/csv.test.110520201445.48,Not valid,Description - 48,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 48,AGFI CSV - 48,https://www.11052020144548.com/,"Grant (Applications, Awards...)"
CSVimport,AGFI CSV - 110520201445 - 49,10.1000/csv.test.110520201445.49,ShareAlike (sa),Description - 49,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 49,AGFI CSV - 49,https://www.11052020144549.com/,Audio
CSVimport,AGFI CSV - 110520201445 - 50,10.1000/csv.test.110520201445.50,NonCommercial (nc),Description - 50,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 50,AGFI CSV - 50,https://www.11052020144550.com/,Book
